sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call
VBS19320-5563STDY7800408,WA-0270,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19324-5563STDY7800411,WA-0274,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19332-5563STDY7800419,WA-0282,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19333-5563STDY7800420,WA-0283,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19337-5563STDY7800425,WA-0287,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19338-5563STDY7800426,WA-0288,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19339-5563STDY7800427,WA-0289,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19340-5563STDY7800428,WA-0290,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19341-5563STDY7800429,WA-0291,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19342-5563STDY7800430,WA-0292,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19344-5563STDY7800432,WA-0294,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19345-5563STDY7800433,WA-0295,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19346-5563STDY7800434,WA-0296,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19347-5563STDY7800435,WA-0297,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19348-5563STDY7800436,WA-0298,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19349-5563STDY7800437,WA-0299,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19356-5563STDY7800443,WA-0306,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19359-5563STDY7800446,WA-0309,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19360-5563STDY7800447,WA-0310,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19363-5563STDY7800450,WA-0313,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19364-5563STDY7800451,WA-0314,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19367-5563STDY7800454,WA-0317,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19368-5563STDY7800455,WA-0318,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19369-5563STDY7800456,WA-0319,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19370-5563STDY7800457,WA-0320,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19371-5563STDY7800458,WA-0321,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19372-5563STDY7800459,WA-0322,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19376-5563STDY7800462,WA-0442,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19378-5563STDY7800464,WA-0444,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19385-5563STDY7800471,WA-0451,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19386-5563STDY7800472,WA-0452,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19389-5563STDY7800475,WA-0455,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19391-5563STDY7800476,WA-0457,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19392-5563STDY7800477,WA-0458,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19393-5563STDY7800478,WA-0459,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19394-5563STDY7800479,WA-0460,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19396-5563STDY7800481,WA-0462,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19397-5563STDY7800482,WA-0463,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19398-5563STDY7800483,WA-0464,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19399-5563STDY7800484,WA-0465,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19400-5563STDY7800485,WA-0466,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19402-5563STDY7800487,WA-0468,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19403-5563STDY7800488,WA-0469,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19406-5563STDY7800491,WA-0472,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19407-5563STDY7800492,WA-0473,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19408-5563STDY7800493,WA-0474,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
VBS19410-5563STDY7800495,WA-0476,Alexander Egyir-Yawson,Ghana,Madina,2017,11,5.683,-0.166,F
