sample_id,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii
VBS19497-5563STDY7800583,0.051,0.002,gamb_colu,gambiae
VBS19506-5563STDY7800589,0.025,0.002,gamb_colu,gambiae
VBS19507-5563STDY7800590,0.019,0.002,gamb_colu,gambiae
VBS19509-5563STDY7800591,0.038,0.002,gamb_colu,gambiae
VBS19510-5563STDY7800592,0.021,0.002,gamb_colu,gambiae
VBS19512-5563STDY7800593,0.059,0.002,gamb_colu,gambiae
VBS19513-5563STDY7800594,0.023,0.002,gamb_colu,gambiae
VBS19514-5563STDY7800595,0.069,0.003,gamb_colu,gambiae
VBS19515-5563STDY7800596,0.029,0.002,gamb_colu,gambiae
VBS19517-5563STDY7800598,0.099,0.002,gamb_colu,gambiae
VBS19519-5563STDY7800600,0.034,0.002,gamb_colu,gambiae
VBS19520-5563STDY7800601,0.055,0.002,gamb_colu,gambiae
VBS19521-5563STDY7800602,0.031,0.002,gamb_colu,gambiae
VBS19523-5563STDY7800603,0.052,0.002,gamb_colu,gambiae
VBS19526-5563STDY7800604,0.056,0.003,gamb_colu,gambiae
VBS19527-5563STDY7800605,0.029,0.002,gamb_colu,gambiae
VBS19528-5563STDY7800606,0.026,0.002,gamb_colu,gambiae
VBS19530-5563STDY7800608,0.044,0.003,gamb_colu,gambiae
VBS19531-5563STDY7800609,0.022,0.003,gamb_colu,gambiae
VBS19532-5563STDY7800610,0.034,0.002,gamb_colu,gambiae
VBS19533-5563STDY7800611,0.029,0.002,gamb_colu,gambiae
VBS19534-5563STDY7800612,0.027,0.002,gamb_colu,gambiae
VBS19535-5563STDY7800613,0.028,0.002,gamb_colu,gambiae
VBS19536-5563STDY7800616,0.024,0.002,gamb_colu,gambiae
VBS19538-5563STDY7800618,0.023,0.002,gamb_colu,gambiae
VBS19539-5563STDY7800619,0.028,0.002,gamb_colu,gambiae
VBS19540-5563STDY7800620,0.026,0.002,gamb_colu,gambiae
VBS19541-5563STDY7800621,0.021,0.002,gamb_colu,gambiae
VBS19542-5563STDY7800622,0.021,0.002,gamb_colu,gambiae
VBS19543-5563STDY7800623,0.028,0.002,gamb_colu,gambiae
VBS19544-5563STDY7800624,0.020,0.002,gamb_colu,gambiae
VBS19545-5563STDY7800625,0.021,0.002,gamb_colu,gambiae
VBS19546-5563STDY7800626,0.024,0.002,gamb_colu,gambiae
VBS19547-5563STDY7800627,0.030,0.002,gamb_colu,gambiae
VBS19548-5563STDY7800628,0.035,0.002,gamb_colu,gambiae
VBS19549-5563STDY7800629,0.027,0.002,gamb_colu,gambiae
VBS19550-5563STDY7800630,0.020,0.002,gamb_colu,gambiae
VBS19551-5563STDY7800631,0.030,0.003,gamb_colu,gambiae
VBS19552-5563STDY7800632,0.026,0.002,gamb_colu,gambiae
VBS19553-5563STDY7800633,0.030,0.002,gamb_colu,gambiae
VBS19554-5563STDY7800634,0.028,0.003,gamb_colu,gambiae
VBS19555-5563STDY7800635,0.032,0.002,gamb_colu,gambiae
VBS19556-5563STDY7800636,0.025,0.002,gamb_colu,gambiae
VBS19557-5563STDY7800637,0.024,0.002,gamb_colu,gambiae
VBS19558-5563STDY7800638,0.029,0.002,gamb_colu,gambiae
VBS19560-5563STDY7800639,0.026,0.002,gamb_colu,gambiae
VBS19561-5563STDY7800640,0.027,0.002,gamb_colu,gambiae
VBS19563-5563STDY7800641,0.025,0.002,gamb_colu,gambiae
VBS19564-5563STDY7800642,0.029,0.002,gamb_colu,gambiae
VBS19565-5563STDY7800643,0.028,0.002,gamb_colu,gambiae
VBS19566-5563STDY7800644,0.031,0.002,gamb_colu,gambiae
VBS19567-5563STDY7800645,0.029,0.002,gamb_colu,gambiae
VBS19569-5563STDY7800646,0.026,0.002,gamb_colu,gambiae
VBS19570-5563STDY7800647,0.021,0.002,gamb_colu,gambiae
VBS19571-5563STDY7800648,0.031,0.002,gamb_colu,gambiae
VBS19572-5563STDY7800649,0.025,0.002,gamb_colu,gambiae
VBS19573-5563STDY7800650,0.029,0.002,gamb_colu,gambiae
VBS19575-5563STDY7800652,0.039,0.002,gamb_colu,gambiae
VBS19576-5563STDY7800653,0.026,0.002,gamb_colu,gambiae
VBS19577-5563STDY7800654,0.025,0.002,gamb_colu,gambiae
VBS19578-5563STDY7800655,0.028,0.002,gamb_colu,gambiae
VBS19579-5563STDY7800656,0.023,0.002,gamb_colu,gambiae
VBS19580-5563STDY7800657,0.025,0.002,gamb_colu,gambiae
VBS19581-5563STDY7800658,0.023,0.002,gamb_colu,gambiae
VBS19582-5563STDY7800659,0.027,0.002,gamb_colu,gambiae
VBS19583-5563STDY7800660,0.027,0.002,gamb_colu,gambiae
VBS19584-5563STDY7800661,0.028,0.002,gamb_colu,gambiae
VBS19585-5563STDY7800662,0.024,0.002,gamb_colu,gambiae
VBS19587-5563STDY7800663,0.038,0.002,gamb_colu,gambiae
VBS19588-5563STDY7800664,0.025,0.002,gamb_colu,gambiae
VBS19589-5563STDY7800665,0.029,0.002,gamb_colu,gambiae
VBS19590-5563STDY7800666,0.034,0.002,gamb_colu,gambiae
VBS19591-5563STDY7800667,0.023,0.002,gamb_colu,gambiae
VBS19592-5563STDY7800668,0.034,0.002,gamb_colu,gambiae
VBS19594-5563STDY7800670,0.033,0.002,gamb_colu,gambiae
VBS19596-5563STDY7800672,0.025,0.002,gamb_colu,gambiae
VBS19597-5563STDY7800673,0.021,0.002,gamb_colu,gambiae
VBS19599-5563STDY7800675,0.031,0.002,gamb_colu,gambiae
VBS19600-5563STDY7800676,0.023,0.002,gamb_colu,gambiae
VBS19601-5563STDY7800677,0.027,0.003,gamb_colu,gambiae
VBS19603-5563STDY7800679,0.030,0.002,gamb_colu,gambiae
VBS19604-5563STDY7800680,0.020,0.003,gamb_colu,gambiae
VBS19605-5563STDY7800681,0.024,0.003,gamb_colu,gambiae
VBS19608-5563STDY7800684,0.026,0.002,gamb_colu,gambiae
VBS19609-5563STDY7800685,0.025,0.002,gamb_colu,gambiae
VBS19610-5563STDY7800686,0.024,0.002,gamb_colu,gambiae
VBS19611-5563STDY7800687,0.029,0.002,gamb_colu,gambiae
VBS19612-5563STDY7800688,0.028,0.002,gamb_colu,gambiae
VBS19613-5563STDY7800689,0.027,0.002,gamb_colu,gambiae
VBS19614-5563STDY7800690,0.028,0.002,gamb_colu,gambiae
VBS19615-5563STDY7800691,0.025,0.002,gamb_colu,gambiae
VBS19616-5563STDY7800692,0.030,0.002,gamb_colu,gambiae
VBS19617-5563STDY7800693,0.029,0.002,gamb_colu,gambiae
VBS19618-5563STDY7800694,0.028,0.002,gamb_colu,gambiae
VBS19619-5563STDY7800695,0.071,0.002,gamb_colu,gambiae
VBS19620-5563STDY7800696,0.029,0.002,gamb_colu,gambiae
