sample.id	country	location	latitude	longitude	collection.date	species	insecticide	concentration	exposure.time	phenotype	sib.group.id	exclude.as.sib	sample.accession	run.accession
WA-0136	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041407	ERR3312413,ERR3312449,ERR3312485
WA-0137	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	17	FALSE	ERS3041408	ERR3289788,ERR3289824,ERR3289860
WA-0138	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041409	ERR3290094,ERR3290130,ERR3290166
WA-0140	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041411	ERR3282319,ERR3282355,ERR3282391
WA-0141	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041412	ERR3311605,ERR3311641,ERR3311677
WA-0142	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041413	ERR3331502,ERR3331538,ERR3331574
WA-0143	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041414	ERR3282699,ERR3282735,ERR3282771
WA-0144	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	17	TRUE	ERS3041415	ERR3311607,ERR3311643,ERR3311679
WA-0146	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	18	FALSE	ERS3041417	ERR3311729,ERR3311765,ERR3311801
WA-0147	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	14	TRUE	ERS3041418	ERR3311823,ERR3311859,ERR3311895
WA-0148	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041419	ERR3289996,ERR3290032,ERR3290068
WA-0149	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041420	ERR3290345,ERR3290381,ERR3290417
WA-0150	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	19	FALSE	ERS3041421	ERR3270177,ERR3270213,ERR3270249
WA-0151	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	14	FALSE	ERS3041422	ERR3270191,ERR3270227,ERR3270263
WA-0152	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041423	ERR3289976,ERR3290012,ERR3290048
WA-0153	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041424	ERR3270199,ERR3270235,ERR3270271
WA-0154	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	13	FALSE	ERS3041425	ERR3290440,ERR3290476,ERR3331461
WA-0155	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041426	ERR3269991,ERR3270027,ERR3270063
WA-0156	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	16	TRUE	ERS3041427	ERR3290357,ERR3290393,ERR3290429
WA-0157	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041428	ERR3289992,ERR3290028,ERR3290064
WA-0158	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041429	ERR3270185,ERR3270221,ERR3270257
WA-0159	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041430	ERR3311706,ERR3311742,ERR3311778
WA-0160	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041431	ERR3282320,ERR3282356,ERR3282392
