specimen	species	location	country	insecticide	concentration	exposure_time	phenotype	plate
WA-0173	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0174	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0175	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0176	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0177	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0178	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0179	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0180	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0181	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0182	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0183	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0184	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0185	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0186	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0187	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0188	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0189	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0190	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0191	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0192	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0193	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0194	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0195	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0196	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0197	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0198	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0199	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0200	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0201	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0202	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0203	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0204	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0205	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0206	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0207	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0208	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0209	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0210	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0211	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0212	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0213	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0214	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0215	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0216	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0217	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0218	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0219	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0220	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0221	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0222	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0223	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0224	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0225	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0226	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0227	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0228	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0229	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0230	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0231	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0232	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0233	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0234	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0235	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0236	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0237	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0238	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0239	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0240	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0241	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0242	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0243	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0244	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0245	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0246	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0247	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0248	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0249	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0250	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0251	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0252	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
