	sample_id	partner_sample_id	contributor	country	location	year	month	latitude	longitude	sex_call	species_gambiae_coluzzii	aim_fraction_colu	species	insecticide	concentration	exposure_time	phenotype	plate
96	VBS19183-5563STDY7800269	WA-0133	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.043	gambiae	Delta	10.0	60	alive	WGS_PL2
97	VBS19184-5563STDY7800270	WA-0134	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.018	gambiae	Delta	10.0	60	alive	WGS_PL2
98	VBS19185-5563STDY7800271	WA-0135	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.025	gambiae	Delta	10.0	60	alive	WGS_PL2
99	VBS19186-5563STDY7800272	WA-0136	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.059	gambiae	Delta	10.0	60	alive	WGS_PL2
100	VBS19187-5563STDY7800273	WA-0137	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.028	gambiae	Delta	10.0	60	alive	WGS_PL2
101	VBS19188-5563STDY7800274	WA-0138	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.056	gambiae	Delta	10.0	60	alive	WGS_PL2
102	VBS19190-5563STDY7800276	WA-0140	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.054	gambiae	Delta	10.0	60	alive	WGS_PL2
103	VBS19191-5563STDY7800277	WA-0141	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.053	gambiae	Delta	10.0	60	alive	WGS_PL2
104	VBS19192-5563STDY7800278	WA-0142	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.017	gambiae	Delta	10.0	60	alive	WGS_PL2
105	VBS19193-5563STDY7800279	WA-0143	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.023	gambiae	Delta	10.0	60	alive	WGS_PL2
106	VBS19194-5563STDY7800280	WA-0144	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.029	gambiae	Delta	10.0	60	alive	WGS_PL2
107	VBS19196-5563STDY7800282	WA-0146	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.056	gambiae	Delta	10.0	60	alive	WGS_PL2
108	VBS19197-5563STDY7800283	WA-0147	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.06	gambiae	Delta	10.0	60	alive	WGS_PL2
109	VBS19198-5563STDY7800284	WA-0148	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.029	gambiae	Delta	10.0	60	alive	WGS_PL2
110	VBS19199-5563STDY7800285	WA-0149	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.055	gambiae	Delta	10.0	60	alive	WGS_PL2
111	VBS19200-5563STDY7800286	WA-0150	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.029	gambiae	Delta	10.0	60	alive	WGS_PL2
112	VBS19201-5563STDY7800287	WA-0151	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.06	gambiae	Delta	10.0	60	alive	WGS_PL2
113	VBS19202-5563STDY7800288	WA-0152	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.025	gambiae	Delta	10.0	60	alive	WGS_PL2
114	VBS19203-5563STDY7800289	WA-0153	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.061	gambiae	Delta	10.0	60	alive	WGS_PL2
115	VBS19204-5563STDY7800290	WA-0154	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.022	gambiae	Delta	10.0	60	alive	WGS_PL2
116	VBS19205-5563STDY7800291	WA-0155	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.021	gambiae	Delta	10.0	60	alive	WGS_PL2
117	VBS19206-5563STDY7800292	WA-0156	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.025	gambiae	Delta	10.0	60	alive	WGS_PL2
118	VBS19207-5563STDY7800293	WA-0157	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.028	gambiae	Delta	10.0	60	alive	WGS_PL2
119	VBS19208-5563STDY7800294	WA-0158	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.09	gambiae	Delta	10.0	60	alive	WGS_PL2
120	VBS19209-5563STDY7800295	WA-0159	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.067	gambiae	Delta	10.0	60	alive	WGS_PL2
121	VBS19210-5563STDY7800296	WA-0160	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.035	gambiae	Delta	10.0	60	alive	WGS_PL2
122	VBS19212-5563STDY7800298	WA-0162	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.086	gambiae	Delta	10.0	60	alive	WGS_PL2
123	VBS19214-5563STDY7800300	WA-0164	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.032	gambiae	Delta	10.0	60	alive	WGS_PL2
124	VBS19215-5563STDY7800301	WA-0165	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.057	gambiae	Delta	10.0	60	alive	WGS_PL2
125	VBS19216-5563STDY7800302	WA-0166	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.04	gambiae	Delta	10.0	60	alive	WGS_PL2
126	VBS19217-5563STDY7800303	WA-0167	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.021	gambiae	Delta	10.0	60	alive	WGS_PL2
127	VBS19218-5563STDY7800304	WA-0168	Alexander Egyir-Yawson	Ghana	Obuasi	2017	9	6.2	-1.683	F	gambiae	0.025	gambiae	Delta	2.0	60	dead	WGS_PL3
128	VBS19219-5563STDY7800305	WA-0169	Alexander Egyir-Yawson	Ghana	Obuasi	2017	9	6.2	-1.683	F	gambiae	0.025	gambiae	Delta	2.0	60	dead	WGS_PL3
129	VBS19221-5563STDY7800307	WA-0171	Alexander Egyir-Yawson	Ghana	Obuasi	2017	9	6.2	-1.683	F	gambiae	0.036	gambiae	Delta	2.0	60	dead	WGS_PL3
130	VBS19224-5563STDY7800310	WA-0174	Alexander Egyir-Yawson	Ghana	Obuasi	2017	9	6.2	-1.683	F	gambiae	0.025	gambiae	Delta	2.0	60	dead	WGS_PL3
131	VBS19225-5563STDY7800311	WA-0175	Alexander Egyir-Yawson	Ghana	Obuasi	2017	9	6.2	-1.683	F	gambiae	0.023	gambiae	Delta	2.0	60	dead	WGS_PL3
132	VBS19226-5563STDY7800312	WA-0176	Alexander Egyir-Yawson	Ghana	Obuasi	2017	9	6.2	-1.683	F	gambiae	0.021	gambiae	Delta	2.0	60	dead	WGS_PL3
133	VBS19229-5563STDY7800315	WA-0179	Alexander Egyir-Yawson	Ghana	Obuasi	2017	9	6.2	-1.683	F	gambiae	0.028	gambiae	Delta	2.0	60	dead	WGS_PL3
134	VBS19236-5563STDY7800322	WA-0186	Alexander Egyir-Yawson	Ghana	Obuasi	2017	9	6.2	-1.683	F	gambiae	0.029	gambiae	Delta	2.0	60	dead	WGS_PL3
135	VBS19237-5563STDY7800323	WA-0187	Alexander Egyir-Yawson	Ghana	Obuasi	2017	9	6.2	-1.683	F	gambiae	0.029	gambiae	Delta	2.0	60	dead	WGS_PL3
136	VBS19245-5563STDY7800333	WA-0195	Alexander Egyir-Yawson	Ghana	Obuasi	2017	9	6.2	-1.683	F	gambiae	0.032	gambiae	Delta	2.0	60	dead	WGS_PL3
137	VBS19246-5563STDY7800334	WA-0196	Alexander Egyir-Yawson	Ghana	Obuasi	2017	9	6.2	-1.683	F	gambiae	0.035	gambiae	Delta	2.0	60	dead	WGS_PL3
138	VBS19249-5563STDY7800337	WA-0199	Alexander Egyir-Yawson	Ghana	Obuasi	2017	9	6.2	-1.683	F	gambiae	0.029	gambiae	Delta	2.0	60	dead	WGS_PL3
